Program,Gender,Academic Year,Inquiry Date,Admission Batch,Training Program Funding Source,Admission Date,Start Date,End Date,Admission Status,Lead Source,Coordinator,Grand Total,Lead Stage,Package Amount,Placement Information,Placement Salary Range,Placement Job Title,State,Placement Employer,Placement Remark,Uploaded Documents,Assigned Career center,Enrolled FY,Exited FY,Training Duration Days,Inquiry To Start Days,Completed,Placed
AI with Azure,Male,2019,2019-03-02,March,WIOA - NH,2019-03-28,2019-04-01,2019-09-16,Training Completed,PA careerlink,JW,6077.79,Admitted,6077.79,No,,,NH,,,Course Completion certificate,Manchester Career Center,2018,2019,168,30,1,0
 Cybersecurity with Cloud Technologies,Male,2017,2017-03-16,April,WIOA - NY,2017-04-11,2017-04-17,2017-06-12,Training Completed,PA careerlink,RJ,8012.87,Admitted,8012.87,Yes,"$100,000-$124,999",Web Developer,NY,Harbor Systems,,Course Completion certificate,New York Career Center,2016,2016,56,32,1,1
MS Office with Salesforce Admin,Female,2019,2019-11-05,November,VRRAP,2019-11-18,2019-12-02,2020-01-27,Training Completed,Training,AM,4518.71,Admitted,4518.71,,,,HI,,,Course Completion certificate,Veteran Affairs,2019,2019,56,27,1,0
AWS Solution and DevOps,Male,2018,2018-08-05,August,WIOA - MA,2018-08-14,2018-08-20,2018-11-26,Dropped Out,Don't know,RJ,6336.24,Admitted,6336.24,No,,,MA,,,Course Completion certificate,Medford Career Center,2018,2018,98,15,0,0
Big Data with Java and Python,Female,2024,2024-07-30,August,VRRAP,2024-08-07,2024-08-19,2024-10-28,Training Completed,Masshire Website,ML,8862.37,Done with training,8862.37,,,,OK,,,Course Completion certificate,Veteran Affairs,2024,2024,70,20,1,0
Data Science with Reporting Tools,Male,2021,2021-03-11,April,VRRAP,2021-04-07,2021-04-19,2021-07-12,Dropped Out,VRRAP,AM,5490.32,Admitted,5490.32,,,,MD,,,Course Completion certificate,Veteran Affairs,2020,2021,84,39,0,0
Automation QA with Data Science,Male,2020,2020-08-07,September,WIOA - MD,2020-09-01,2020-09-21,2021-05-03,Training Completed,Website,JW,5147.99,Admitted,5147.99,Yes,"$25,000-$49,999",Data Analyst,MD,Vertex Consulting,,Course Completion certificate,Baltimore Career Center,2020,2020,224,45,1,1
CompTIA-Security Engineer,Female,2023,2023-07-04,July,WIOA - MA,2023-07-28,2023-08-07,2024-01-22,Training Completed,Don't know,CB,7219.42,Admitted,7219.42,Yes,"$25,000-$49,999",Data Analyst,MA,Evergreen Analytics,,cert 2,Boston Career Center,2023,2023,168,34,1,1
Big Data and Python Developer,Female,2026,2026-01-31,February,WIOA - OH,2026-02-09,2026-03-02,2026-07-20,Dropped Out,PA careerlink,ML,6247.46,Admitted,6247.46,Yes,"$25,000-$49,999",QA Tester,OH,Evergreen Analytics,,Course Completion certificate,Cleveland Career Center,2025,2026,140,30,0,1
Big data with Python,Male,2019,2019-07-22,August,WIOA - FL,2019-08-05,2019-09-02,2019-12-23,Training Completed,Training,RJ,6231.63,Done with training,6231.63,Yes,"$25,000-$49,999",SQL Developer,FL,Harbor Systems,,Course Completion certificate,Miami Career Center,2019,2019,112,42,1,1
Microsoft Development Tool with Data Analytics,Female,2017,2017-03-07,March,WIOA - NJ,2017-03-16,2017-03-20,2017-05-15,Training Completed,Masshire Website,CB,5577.0,Admitted,5577.0,,,,NJ,,,Course Completion certificate,Newark Career Center,2016,2016,56,13,1,0
OLD student,Male,2017,2017-08-13,September,WIOA - ME,2017-09-09,2017-09-18,2018-03-05,Training Completed,Don't know,ML,5815.44,Admitted,5815.44,Yes,"$25,000-$49,999",Web Developer,ME,Vertex Consulting,,Course Completion certificate,Portland Career Center,2017,2017,168,36,1,1
CompTIA Core,Female,2025,2025-03-04,March,Section 30,2025-03-23,2025-04-07,2025-07-14,Dropped Out,Don't know,TP,6806.58,Training completed,6806.58,Yes,"$125,000-$149,999",QA Tester,MA,Evergreen Analytics,,Course Completion certificate,Boston Career Center,2024,2025,98,34,0,1
Automation Quality Assurance,Male,2025,2025-01-21,February,WIOA - NH,2025-02-04,2025-03-03,2025-05-12,Training Completed,Don't know,TP,8614.77,Admitted,8614.77,,,,NH,,,Course Completion certificate,Nashua Career Center,2024,2024,70,41,1,0
Data Analysis with Microsoft,Female,2021,2021-04-24,May,WIOA - FL,2021-05-20,2021-06-07,2021-08-30,Dropped Out,Phone call,JW,6831.9,Admitted,6831.9,No,,,FL,,,Course Completion certificate,Orlando Career Center,2020,2021,84,44,0,0
ADOBE Photoshop and Illustrator with Digital Marketing,Female,2018,2017-12-31,January,WIOA - OH,2018-01-10,2018-01-15,2018-05-07,Training Completed,Don't know,ML,6249.79,Admitted,6249.79,Yes,"$50,000-$74,999",Data Analyst,OH,Blue River Solutions,,Course Completion certificate,Cleveland Career Center,2017,2017,112,15,1,1
Advance Software Developer,Female,2021,2021-10-30,November,WIOA - MA,2021-11-11,2021-11-15,2022-01-10,Training Completed,Career Center Reference - Email,ML,6664.99,Admitted,6664.99,Yes,"$25,000-$49,999",Business Analyst,MA,Blue River Solutions,,Course Completion certificate,Worcester Career Center,2021,2021,56,16,1,1
Data Science with Programming Tools,Female,2023,2023-04-07,April,WIOA - NY,2023-04-27,2023-05-15,2023-07-24,Training Completed,Career Center Reference - Email,AD,4823.81,Admitted,4823.81,Yes,"$25,000-$49,999",QA Tester,NY,Harbor Systems,,Course Completion certificate,New York Career Center,2022,2023,70,38,1,1
AWS Technology with Java,Female,2019,2019-11-12,November,WIOA - PA,2019-11-21,2019-12-02,2020-02-24,Training Completed,Maryland Joblink,CB,4784.27,Admitted,4784.27,Yes,"$125,000-$149,999",Business Analyst,PA,Blue River Solutions,,Course Completion certificate,Philadelphia Career Center,2019,2019,84,20,1,1
Salesforce Admin with Agile,Male,2017,2017-05-04,May,WIOA - MA,2017-05-20,2017-06-05,2017-09-11,Training Completed,Email,ML,5544.57,Admitted,5544.57,Yes,"$25,000-$49,999",SQL Developer,MA,Evergreen Analytics,,Course Completion certificate,Worcester Career Center,2016,2017,98,32,1,1
Salesforce Admin with Digital Marketing_Package-5980,Female,2019,2019-10-05,October,WIOA - MA,2019-10-12,2019-11-04,2020-02-10,Training Completed,Email,RJ,6050.42,Admitted,6050.42,,,,MA,,,Course Completion certificate,Worcester Career Center,2019,2019,98,30,1,0
Oracle Java and Python Developer,Female,2023,2023-06-28,July,Section 30,2023-07-26,2023-08-07,2023-10-02,Training Completed,Phone call,AD,5865.76,Admitted,5865.76,Yes,"$25,000-$49,999",Web Developer,MA,Pioneer Digital,,Course Completion certificate,Medford Career Center,2023,2023,56,40,1,1
Data Science with Tableau,Female,2026,2026-05-26,June,Section 30,2026-06-04,2026-06-15,2026-10-05,Training Completed,Masshire Website,CB,6340.49,Admitted,6340.49,Yes,"$50,000-$74,999",Cloud Support Specialist,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2025,2026,112,20,1,1
AWS DevOps Admin with Certification,Female,2018,2018-06-06,June,WIOA - NY,2018-06-22,2018-07-16,2018-09-24,Training Completed,Don't know,RJ,5593.41,Admitted,5593.41,Yes,"$100,000-$124,999",Data Analyst,NY,Blue River Solutions,,Course Completion certificate,New York Career Center,2018,2018,70,40,1,1
CompTIA Core,Male,2025,2025-10-02,October,MRC,2025-10-21,2025-11-17,2026-02-23,Dropped Out,Email,RJ,6806.58,Admitted,6806.58,Yes,"$100,000-$124,999",Software Developer,MA,Evergreen Analytics,,"Course Completion certificate,Partner Release of Information,Registration form,Resume",Worcester Career Center,2025,2025,98,46,0,1
Web Development With AI,Male,2021,2021-02-14,March,WIOA - FL,2021-03-13,2021-04-05,2021-06-28,Training Completed,Phone call,ML,5148.88,Admitted,5148.88,Yes,"$25,000-$49,999",QA Tester,FL,Vertex Consulting,,Course Completion certificate,Miami Career Center,2020,2020,84,50,1,1
CompTIA IT Support Specialist II,Female,2023,2023-03-19,April,WIOA - MA,2023-04-16,2023-05-01,2023-08-21,Training Completed,PA careerlink,CB,5159.91,Admitted,5159.91,Yes,"$25,000-$49,999",Software Developer,MA,Evergreen Analytics,,Course Completion certificate,Worcester Career Center,2022,2023,112,43,1,1
Full Stack Web Development with C# . Net ASP.net,Male,2025,2025-03-28,April,VRRAP,2025-04-25,2025-05-05,2025-07-28,Training Completed,VRRAP,ML,6315.31,Admitted,6315.31,Yes,"$75,000-$99,999",Business Analyst,OH,Blue River Solutions,,Course Completion certificate,Veteran Affairs,2024,2025,84,38,1,1
AWS Solution and DevOps,Male,2022,2022-02-21,March,WIOA - MA,2022-03-08,2022-04-04,2022-07-11,Training Completed,Phone call,RJ,6336.24,Admitted,6336.24,Yes,"$25,000-$49,999",Web Developer,MA,Pioneer Digital,,Course Completion certificate,Worcester Career Center,2021,2022,98,42,1,1
Data Science with Tableau,Male,2017,2017-02-15,March,WIOA - OH,2017-03-10,2017-03-20,2017-07-10,Training Completed,Phone call,CB,6340.49,Admitted,6340.49,Yes,"$50,000-$74,999",Cloud Support Specialist,OH,Northstar Technology,,Course Completion certificate,Columbus Career Center,2016,2017,112,33,1,1
ADOBE Photoshop and Illustrator with Digital Marketing,Female,2019,2019-03-12,March,Section 30,2019-03-19,2019-04-15,2019-08-05,Training Completed,Career Center Reference - Email,CB,6249.79,Admitted,6249.79,Yes,"$75,000-$99,999",Business Analyst,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2018,2019,112,34,1,1
Salesforce Admin and Tableau with Certification,Female,2024,2024-08-16,September,WIOA - VA,2024-09-01,2024-09-16,2024-12-23,Training Completed,Career Center Reference - Phone,JW,6634.04,Done with training,6634.04,Yes,"$125,000-$149,999",Data Analyst,VA,Harbor Systems,,Course Completion certificate,Norfolk Career Center,2024,2024,98,31,1,1
Advanced Data Analytics,Female,2022,2022-02-04,February,VRRAP,2022-02-28,2022-03-07,2022-06-27,Training Completed,Masshire Website,AD,5811.89,Admitted,5811.89,Yes,"$50,000-$74,999",Software Developer,NC,Vertex Consulting,,Course Completion certificate,Veteran Affairs,2021,2021,112,31,1,1
Salesforce Developer with Cloud Computing,Male,2019,2019-11-01,November,WIOA - NY,2019-11-25,2019-12-02,2020-03-23,Training Completed,Career Center Reference - Phone,AM,6906.85,Admitted,6906.85,Yes,"$25,000-$49,999",Data Analyst,NY,Northstar Technology,,Course Completion certificate,New York Career Center,2019,2019,112,31,1,1
Data Analytics with Data Science,Male,2022,2022-05-28,June,MRC,2022-06-16,2022-06-20,2022-08-15,Training Completed,Masshire Website,RJ,10487.64,Admitted,10487.64,Yes,"$75,000-$99,999",Web Developer,MA,Blue River Solutions,,Course Completion certificate,Boston Career Center,2021,2022,56,23,1,1
Python with Cloud Computing,Female,2019,2019-03-22,April,WIOA - MA,2019-04-15,2019-05-06,2019-08-26,Training Completed,Career Center Reference - Phone,TP,8474.01,Admitted,8474.01,Yes,"$50,000-$74,999",QA Tester,MA,Northstar Technology,,Course Completion certificate,Medford Career Center,2018,2019,112,45,1,1
Data Visualization (with Laptop),Female,2019,2018-12-11,December,WIOA - FL,2018-12-31,2019-01-21,2019-07-08,Dropped Out,Maryland Joblink,JW,5790.39,Admitted,5790.39,,,,FL,,,Course Completion certificate,Miami Career Center,2018,2019,168,41,0,0
"Web, Mobile and Digital Marketing",Male,2024,2024-11-18,November,MassAbility,2024-11-27,2024-12-02,2025-02-24,Dropped Out,Masshire Website,JW,5648.08,Admitted,5648.08,,,,MA,,,Course Completion certificate,Boston Career Center,2024,2024,84,14,0,0
MS Office with Salesforce Admin,Male,2020,2020-07-20,August,WIOA - NJ,2020-08-10,2020-08-17,2020-10-12,Dropped Out,Don't know,RJ,4518.71,Admitted,4518.71,Yes,"$125,000-$149,999",Technical Support Specialist,NJ,Evergreen Analytics,,Course Completion certificate,Newark Career Center,2020,2020,56,28,0,1
MS Office with Digital Marketing/Beginners Entrepreneur Kit ,Female,2019,2019-04-11,April,WIOA - NY,2019-04-18,2019-05-06,2019-08-26,Training Completed,Email,TP,5540.28,Admitted,5540.28,Yes,"$50,000-$74,999",SQL Developer,NY,Summit Cloud Services,,Course Completion certificate,New York Career Center,2018,2019,112,25,1,1
Java Development with Cloud Computing,Male,2020,2020-08-23,September,VRRAP,2020-09-09,2020-10-05,2021-01-11,Training Completed,Don't know,AM,6441.44,Admitted,6441.44,Yes,"$50,000-$74,999",Technical Support Specialist,ME,Pioneer Digital,,Course Completion certificate,Veteran Affairs,2020,2020,98,43,1,1
Data Analytics,Female,2025,2025-10-24,November,WIOA - CT,2025-11-17,2025-12-15,2026-06-01,Training Completed,Phone call,CB,5466.25,Admitted,5466.25,Yes,"$50,000-$74,999",Technical Support Specialist,CT,Blue River Solutions,,Course Completion certificate,New Haven Career Center,2025,2025,168,52,1,1
AI with Azure,Female,2018,2018-05-02,May,WIOA - MA,2018-05-15,2018-06-04,2018-11-19,Training Completed,Career Center Reference - Phone,AD,6077.79,Admitted,6077.79,,,,MA,,,Course Completion certificate,Medford Career Center,2017,2018,168,33,1,0
Frontend Web Development with Cloud Computing,Male,2018,2018-05-19,June,WIOA - MD,2018-06-15,2018-07-02,2018-10-08,Dropped Out,NSCITE,AD,5361.71,Admitted,5361.71,,,,MD,,,Course Completion certificate,Baltimore Career Center,2018,2018,98,44,0,0
Cloud Programming with Python,Male,2020,2020-01-31,February,WIOA - MA,2020-02-26,2020-03-02,2020-09-14,Training Completed,Training,TP,5513.76,Done with training,5513.76,No,,,MA,,,Course Completion certificate,Boston Career Center,2019,2020,196,31,1,0
Data Science with Programming Tools,Male,2017,2017-02-12,March,WIOA - NY,2017-03-03,2017-03-20,2017-05-29,Training Completed,Phone call,ML,4823.81,Admitted,4823.81,Yes,"$125,000-$149,999",SQL Developer,NY,Northstar Technology,,Course Completion certificate,Albany Career Center,2016,2016,70,36,1,1
Python full stack web developer with Selenium,Female,2017,2017-04-06,April,WIOA - MD,2017-04-25,2017-05-15,2017-09-04,Training Completed,Tidio chat,CB,5992.06,Admitted,5992.06,Yes,"$25,000-$49,999",Web Developer,MD,Pioneer Digital,,Course Completion certificate,Maryland Career Center,2016,2017,112,39,1,1
AWS Solution and DevOps,Female,2016,2016-08-13,August,WIOA - MA,2016-08-23,2016-09-05,2016-12-12,Training Completed,Masshire Website,TP,6336.24,Admitted,6336.24,,,,MA,,,Course Completion certificate,Worcester Career Center,2016,2016,98,23,1,0
BI Analytics,Female,2018,2017-12-25,January,WIOA - VA,2018-01-16,2018-02-05,2018-05-28,Training Completed,Masshire Website,AM,6036.06,Admitted,6036.06,,,,VA,,,Course Completion certificate,Norfolk Career Center,2017,2017,112,42,1,0
Data Science with Tableau,Female,2023,2022-12-24,January,WIOA - MA,2023-01-12,2023-01-16,2023-04-10,Training Completed,Career Center Reference - Email,JW,6404.23,Done with training,6404.23,Yes,"$25,000-$49,999",Technical Support Specialist,MA,Harbor Systems,,Course Completion certificate,Medford Career Center,2022,2022,84,23,1,1
Data Analytics,Female,2018,2018-06-29,July,WIOA - FL,2018-07-11,2018-07-16,2018-12-31,Training Completed,Training,AD,5466.25,Dropped Out,5466.25,No,,,FL,,,Course Completion certificate,Orlando Career Center,2018,2018,168,17,1,0
CompTIA Core,Female,2020,2020-04-29,May,VRRAP,2020-05-27,2020-06-01,2020-09-07,Training Completed,Masshire Website,AD,6806.58,Admitted,6806.58,Yes,"$25,000-$49,999",Software Developer,DE,Pioneer Digital,,Course Completion certificate,Veteran Affairs,2019,2020,98,33,1,1
"Web, Mobile and Digital Marketing",Female,2023,2023-08-22,August,Section 30,2023-08-29,2023-09-04,2023-11-27,Training Completed,Phone call,AD,5648.08,Admitted,5648.08,Yes,"$50,000-$74,999",Cloud Support Specialist,MA,Summit Cloud Services,,Course Completion certificate,Worcester Career Center,2023,2023,84,13,1,1
AWS Cloud Technologies,Female,2016,2016-10-29,November,Section 30,2016-11-12,2016-12-05,2017-03-27,Training Completed,Masshire Website,AD,5933.47,Admitted,5933.47,,,,MA,,,Course Completion certificate,Medford Career Center,2016,2016,112,37,1,0
Advanced Data Analytics,Female,2018,2018-08-15,August,WIOA - NY,2018-08-30,2018-09-17,2019-01-07,Training Completed,Don't know,CB,5811.89,Admitted,5811.89,Yes,"$75,000-$99,999",Cloud Support Specialist,NY,Vertex Consulting,,Course Completion certificate,New York Career Center,2018,2018,112,33,1,1
Test,Male,2026,2026-07-29,August,WIOA - ME,2026-08-09,2026-08-17,2026-11-09,Training Completed,Don't know,AM,5112.51,Admitted,5112.51,,,,ME,,,Course Completion certificate,Augusta Career Center,2026,2026,84,19,1,0
Data Analysis With Python and Tableau,Female,2022,2022-07-17,August,WIOA - ME,2022-08-03,2022-08-15,2022-11-21,Training Completed,Career Center Reference - Phone,JW,5762.94,Done with training,5762.94,Yes,"$50,000-$74,999",Web Developer,ME,Northstar Technology,,Course Completion certificate,Portland Career Center,2022,2022,98,29,1,1
Digital Marketing with Salesforce(with Laptop),Male,2023,2023-03-07,March,WIOA - FL,2023-03-26,2023-04-17,2023-07-10,Training Completed,Masshire Website,RJ,6007.83,Admitted,6007.83,Yes,"$100,000-$124,999",Software Developer,FL,Northstar Technology,,Course Completion certificate,Miami Career Center,2022,2023,84,41,1,1
Data Science with Big Data and Python,Male,2021,2021-09-21,October,WIOA - OH,2021-10-04,2021-10-18,2022-02-07,Training Completed,Phone call,ML,7783.2,Admitted,7783.2,Yes,"$100,000-$124,999",QA Tester,OH,Harbor Systems,,Course Completion certificate,Cleveland Career Center,2021,2021,112,27,1,1
CompTIA Core,Male,2026,2026-04-10,April,WIOA - PA,2026-04-22,2026-05-04,2026-08-10,Training Completed,Email,AD,6806.58,Admitted,6806.58,Yes,"$25,000-$49,999",Cloud Support Specialist,PA,Northstar Technology,,Course Completion certificate,Pittsburgh Career Center,2025,2026,98,24,1,1
AWS Solution and DevOps,Female,2018,2017-12-18,December,WIOA - VT,2017-12-27,2018-01-01,2018-04-09,Training Completed,Masshire Website,TP,6336.24,Done with training,6336.24,Yes,"$125,000-$149,999",Web Developer,VT,Evergreen Analytics,,Course Completion certificate,Burlington Career Center,2017,2017,98,14,1,1
Big data with Python,Female,2017,2017-03-09,March,Section 30,2017-03-23,2017-04-17,2017-08-07,Training Completed,Masshire Website,TP,6231.63,Admitted,6231.63,,,,MA,,,Course Completion certificate,Worcester Career Center,2016,2017,112,39,1,0
Java Developer,Male,2024,2024-10-04,October,WIOA - VA,2024-10-14,2024-11-04,2025-03-24,Training Completed,Phone call,AD,6194.04,Admitted,6194.04,Yes,"$25,000-$49,999",Cloud Support Specialist,VA,Harbor Systems,,Course Completion certificate,Norfolk Career Center,2024,2024,140,31,1,1
Full Stack PHP  Developer,Male,2016,2016-07-19,August,WIOA - MA,2016-08-06,2016-08-15,2017-02-27,Dropped Out,Career Center Reference - Phone,AD,4556.74,Admitted,4556.74,Yes,"$75,000-$99,999",QA Tester,MA,Harbor Systems,,Course Completion certificate,Boston Career Center,2016,2016,196,27,0,1
Cloud Computing with C#.NET,Female,2022,2022-03-08,March,VRRAP,2022-03-27,2022-04-04,2022-06-27,Training Completed,USA Worksource MD,TP,5927.75,Admitted,5927.75,Yes,"$50,000-$74,999",Data Analyst,VA,Pioneer Digital,,Course Completion certificate,Veteran Affairs,2021,2021,84,27,1,1
Cybersecurity Essentials,Female,2016,2016-07-09,July,WIOA - NH,2016-07-20,2016-08-01,2017-01-16,Training Completed,Masshire Website,AD,6770.6,Admitted,6770.6,No,,,NH,,,Course Completion certificate,Nashua Career Center,2016,2016,168,23,1,0
Big Data with Data Science and Python,Male,2020,2020-01-11,February,WIOA - MA,2020-02-03,2020-03-02,2020-06-08,Training Completed,Phone call,ML,6192.05,Admitted,6192.05,No,,,MA,,,Course Completion certificate,Medford Career Center,2019,2019,98,51,1,0
AWS Cloud Technologies,Female,2023,2023-02-01,February,WIOA - MD,2023-02-25,2023-03-06,2023-06-26,Training Completed,NSCITE,AD,5933.47,Admitted,5933.47,Yes,"$75,000-$99,999",SQL Developer,MD,Northstar Technology,,Course Completion certificate,Rockville Career Center,2022,2022,112,33,1,1
CompTIA-Security Engineer,Male,2022,2022-01-15,January,WIOA - MA,2022-01-30,2022-02-21,2022-08-08,Training Completed,Career Center Reference - Email,AM,7219.42,Admitted,7219.42,Yes,"$50,000-$74,999",Web Developer,MA,Evergreen Analytics,,Course Completion certificate,Medford Career Center,2021,2022,168,37,1,1
JavaScript,Female,2022,2022-03-02,March,VRRAP,2022-03-17,2022-04-04,2022-09-19,Training Completed,VRRAP,ML,6613.8,Admitted,6613.8,No,,,ME,,,Course Completion certificate,Veteran Affairs,2021,2022,168,33,1,0
Quality Assurance Analyst 2,Female,2018,2018-02-05,February,WIOA - CT,2018-02-24,2018-03-19,2018-09-03,Training Completed,Masshire Website,AD,6082.94,Admitted,6082.94,Yes,"$100,000-$124,999",SQL Developer,MA,Pioneer Digital,,"cert 2,cert 3,Course Completion certificate",New Haven Career Center,2017,2018,168,42,1,1
CompTIA Skills Builder,Male,2019,2019-06-27,July,WIOA - NY,2019-07-09,2019-07-15,2020-02-24,Training Completed,Don't know,AD,6048.52,Done with training,6048.52,Yes,"$125,000-$149,999",Data Analyst,NY,Northstar Technology,,Course Completion certificate,New York Career Center,2019,2019,224,18,1,1
Data Analytics,Female,2023,2023-09-08,September,WIOA - FL,2023-09-16,2023-10-02,2024-03-18,Training Completed,Pearson Inquiry,ML,5466.25,Admitted,5466.25,Yes,"$25,000-$49,999",Business Analyst,FL,Vertex Consulting,,Course Completion certificate,Orlando Career Center,2023,2023,168,24,1,1
Full Stack Web Development with C# . Net ASP.net,Male,2016,2016-09-28,October,MRC,2016-10-12,2016-10-17,2017-01-09,Training Completed,Career Center Reference - Email,AM,6315.31,Admitted,6315.31,Yes,"$125,000-$149,999",Data Analyst,MA,Vertex Consulting,,Course Completion certificate,Medford Career Center,2016,2016,84,19,1,1
Data Analytics,Female,2022,2022-07-11,August,WIOA - NH,2022-08-05,2022-08-15,2023-01-30,Training Completed,PA careerlink,AD,5466.25,Admitted,5466.25,Yes,"$100,000-$124,999",Technical Support Specialist,NH,Northstar Technology,,Course Completion certificate,Manchester Career Center,2022,2022,168,35,1,1
CompTIA IT Support Specialist II,Female,2021,2021-09-25,October,VRRAP,2021-10-07,2021-11-01,2022-02-21,Training Completed,Don't know,JW,5159.91,Admitted,5159.91,Yes,"$75,000-$99,999",Software Developer,NY,Summit Cloud Services,,Course Completion certificate,Veteran Affairs,2021,2021,112,37,1,1
MS Office with Digital Marketing/Beginners Entrepreneur Kit ,Male,2020,2019-12-26,January,Section 30,2020-01-10,2020-02-03,2020-05-25,Training Completed,Phone call,TP,5540.28,Admitted,5540.28,Yes,"$25,000-$49,999",QA Tester,MA,Blue River Solutions,,Course Completion certificate,Medford Career Center,2019,2019,112,39,1,1
Advanced Data Analytics,Female,2020,2019-11-22,December,WIOA - MA,2019-12-13,2020-01-06,2020-04-27,Training Completed,Phone call,AD,5811.89,Admitted,5811.89,Yes,"$100,000-$124,999",Software Developer,MA,Summit Cloud Services,,Course Completion certificate,Worcester Career Center,2019,2019,112,45,1,1
Digital Marketing with Salesforce(with Laptop),Female,2024,2024-08-01,August,WIOA - MA,2024-08-23,2024-09-16,2024-12-09,Training Completed,PA careerlink,CB,6007.83,Admitted,6007.83,Yes,"$125,000-$149,999",Data Analyst,MA,Northstar Technology,,Course Completion certificate,Boston Career Center,2024,2024,84,46,1,1
Data Analytics,Male,2020,2020-05-14,May,WIOA - VA,2020-05-27,2020-06-01,2020-11-16,Training Completed,Don't know,JW,5466.25,Admitted,5466.25,Yes,"$100,000-$124,999",Business Analyst,VA,Harbor Systems,,Course Completion certificate,Norfolk Career Center,2019,2020,168,18,1,1
BI Analytics,Male,2017,2017-04-24,May,WIOA - VA,2017-05-18,2017-06-05,2017-09-25,Training Completed,Phone call,AM,6036.06,Admitted,6036.06,Yes,"$125,000-$149,999",Software Developer,VA,Northstar Technology,,Course Completion certificate,Richmond Career Center,2016,2017,112,42,1,1
Data Analytics,Male,2026,2026-03-26,April,VRRAP,2026-04-03,2026-04-20,2026-10-05,Training Completed,VRRAP,JW,5466.25,Done with training,5466.25,Yes,"$125,000-$149,999",QA Tester,MA,Pioneer Digital,,Course Completion certificate,Veteran Affairs,2025,2026,168,25,1,1
Kubernetes with Cloud and Data Science,Female,2017,2017-10-28,November,WIOA - MA,2017-11-08,2017-11-20,2018-04-09,Training Completed,Student Reference,RJ,8555.54,Admitted,8555.54,Yes,"$50,000-$74,999",Cloud Support Specialist,MA,Pioneer Digital,,Course Completion certificate,Worcester Career Center,2017,2017,140,23,1,1
